x1,x2,label
-4.657133685042658,3.5203094811818514,0
-4.863905474741814,3.2814003972580603,0
-4.635458571165313,3.4771827081520685,0
-4.379244041173814,3.700208149791182,0
-4.928166272716712,3.1175751820183657,0
-4.9389686980105,3.0725432651695246,0
-4.394473475753414,3.58229317761066,0
-4.652848845776147,3.2886596608351426,0
-5.040894922488838,2.8648456257609154,0
-4.740344066848322,3.129121780503646,0
-5.056883942731693,2.7758035737398288,0
-5.0658803832002794,2.7295283281757343,0
-4.8571931234825225,2.9004395072937506,0
-5.5241407085325545,2.1952218075193373,0
-5.473521421933998,2.2070802290391027,0
-5.124351794764368,2.517001566654633,0
-5.268388447478889,2.3332325676133037,0
-4.868047293486362,2.6933607277434417,0
-5.24738124280047,2.2733365875104954,0
-5.406583296168043,2.072970637592691,0
-4.530395497775604,2.9075243658749153,0
-5.052010012982229,2.3438091794127818,0
-4.965869718309184,2.387385814136462,0
-5.425689307945754,1.8845432280348868,0
-5.15905234768153,2.1077015469100937,0
-4.960855413147704,2.26196792581916,0
-5.348899672897161,1.8295449656740153,0
-4.883201215333548,2.2504203859889182,0
-5.183000550875925,1.905357522389075,0
-5.089074744819757,1.9535831934196406,0
-5.184121016699688,1.8124041008496767,0
-4.432954979579119,2.5170085900461245,0
-5.003206561364103,1.8997707283202445,0
-5.321631315262249,1.5339389941259025,0
-4.7447395369413154,2.063007159555051,0
-5.368054226196182,1.3914563283217045,0
-4.928173047078408,1.7826929752802905,0
-5.5889252566260845,1.072892017340664,0
-5.39244391686882,1.2199246011049594,0
-4.922104409162347,1.6404195881718777,0
-4.752270624874447,1.760017364086683,0
-4.921272996925542,1.5403918064336373,0
-5.004143588270894,1.4065151959839368,0
-5.0555101231655355,1.3037641850580635,0
-5.409991417260896,0.8975243670536295,0
-5.17160192772494,1.0837857259469217,0
-5.085626126388435,1.1172682627655566,0
-4.614108045911874,1.535932449037767,0
-4.824933365104433,1.271897141086964,0
-5.461640937877194,0.5816280506893715,0
-4.814628698798176,1.1747318391272379,0
-5.022859685476199,0.9122500944106285,0
-5.102967877981253,0.777553491460151,0
-4.699041952661412,1.126558037890618,0
-4.560694932265177,1.2096554234868024,0
-4.580756557722416,1.1340206480181334,0
-5.111658820100568,0.5472264888757172,0
-4.938190657329414,0.6644888039384087,0
-4.730502869582539,0.8156616157798462,0
-4.521235881021663,0.968109349510297,0
-4.953849657768926,0.4783769143882923,0
-4.851091154820228,0.5237222564889412,0
-5.119463803446266,0.1976468708823736,0
-5.133200094133665,0.12592321826988295,0
-4.504354484660525,0.6965018164835628,0
-4.323396626258909,0.8189180138968755,0
-4.745453281584426,0.3380500710260718,0
-4.400943933733128,0.6234835510823004,0
-4.5815672204720945,0.38352488530799606,0
-4.87343471571202,0.03206759106937532,0
-4.54884001522389,0.29682318570288035,0
-4.17178707836807,0.6137928443473709,0
-4.635989889117308,0.08926773848055491,0
-4.128450165094546,0.5362513264388065,0
-5.390681804416992,-0.7867650938710248,0
-4.318952552094301,0.22395594818436432,0
-4.524841063190135,-0.043158967644370584,0
-4.62360592306642,-0.20336317318263725,0
-4.484274205926752,-0.12567847082610412,0
-5.100405238329802,-0.8036588975064494,0
-4.5388994406929974,-0.3041995666489147,0
-4.341490395841241,-0.16902873717640213,0
-3.977236366340027,0.13280066870060375,0
-4.566387660938212,-0.5189563014169706,0
-4.6331428353782975,-0.6484928313866734,0
-4.516851947882283,-0.5951535924713125,0
-4.0603973496519945,-0.20181553430151522,0
-4.216736225397375,-0.4214304258674938,0
